audio_path,emotion
dataset/RAVDESS\Actor_04\03-01-07-02-01-02-04.wav,disgust
dataset/RAVDESS\Actor_04\03-01-07-02-02-01-04.wav,disgust
dataset/RAVDESS\Actor_04\03-01-07-02-02-02-04.wav,disgust
dataset/RAVDESS\Actor_04\03-01-08-01-01-01-04.wav,surprise
dataset/RAVDESS\Actor_04\03-01-08-01-01-02-04.wav,surprise
dataset/RAVDESS\Actor_04\03-01-08-01-02-01-04.wav,surprise
dataset/RAVDESS\Actor_04\03-01-08-01-02-02-04.wav,surprise
dataset/RAVDESS\Actor_04\03-01-08-02-01-01-04.wav,surprise
dataset/RAVDESS\Actor_04\03-01-08-02-01-02-04.wav,surprise
dataset/RAVDESS\Actor_04\03-01-08-02-02-01-04.wav,surprise
dataset/RAVDESS\Actor_04\03-01-08-02-02-02-04.wav,surprise
dataset/RAVDESS\Actor_05\03-01-01-01-01-01-05.wav,neutral
dataset/RAVDESS\Actor_05\03-01-01-01-01-02-05.wav,neutral
dataset/RAVDESS\Actor_05\03-01-01-01-02-01-05.wav,neutral
dataset/RAVDESS\Actor_05\03-01-01-01-02-02-05.wav,neutral
dataset/RAVDESS\Actor_05\03-01-02-01-01-01-05.wav,calm
dataset/RAVDESS\Actor_05\03-01-02-01-01-02-05.wav,calm
dataset/RAVDESS\Actor_05\03-01-02-01-02-01-05.wav,calm
dataset/RAVDESS\Actor_05\03-01-02-01-02-02-05.wav,calm
dataset/RAVDESS\Actor_05\03-01-02-02-01-01-05.wav,calm
dataset/RAVDESS\Actor_05\03-01-02-02-01-02-05.wav,calm
dataset/RAVDESS\Actor_05\03-01-02-02-02-01-05.wav,calm
dataset/RAVDESS\Actor_05\03-01-02-02-02-02-05.wav,calm
dataset/RAVDESS\Actor_05\03-01-03-01-01-01-05.wav,happy
dataset/RAVDESS\Actor_05\03-01-03-01-01-02-05.wav,happy
dataset/RAVDESS\Actor_05\03-01-03-01-02-01-05.wav,happy
dataset/RAVDESS\Actor_05\03-01-03-01-02-02-05.wav,happy
dataset/RAVDESS\Actor_05\03-01-03-02-01-01-05.wav,happy
dataset/RAVDESS\Actor_05\03-01-03-02-01-02-05.wav,happy
dataset/RAVDESS\Actor_05\03-01-03-02-02-01-05.wav,happy
dataset/RAVDESS\Actor_05\03-01-03-02-02-02-05.wav,happy
dataset/RAVDESS\Actor_05\03-01-04-01-01-01-05.wav,sad
dataset/RAVDESS\Actor_05\03-01-04-01-01-02-05.wav,sad
dataset/RAVDESS\Actor_05\03-01-04-01-02-01-05.wav,sad
dataset/RAVDESS\Actor_05\03-01-04-01-02-02-05.wav,sad
dataset/RAVDESS\Actor_05\03-01-04-02-01-01-05.wav,sad
dataset/RAVDESS\Actor_05\03-01-04-02-01-02-05.wav,sad
dataset/RAVDESS\Actor_05\03-01-04-02-02-01-05.wav,sad
dataset/RAVDESS\Actor_05\03-01-04-02-02-02-05.wav,sad
dataset/RAVDESS\Actor_05\03-01-05-01-01-01-05.wav,angry
dataset/RAVDESS\Actor_05\03-01-05-01-01-02-05.wav,angry
dataset/RAVDESS\Actor_05\03-01-05-01-02-01-05.wav,angry
dataset/RAVDESS\Actor_05\03-01-05-01-02-02-05.wav,angry
dataset/RAVDESS\Actor_05\03-01-05-02-01-01-05.wav,angry
dataset/RAVDESS\Actor_05\03-01-05-02-01-02-05.wav,angry
dataset/RAVDESS\Actor_05\03-01-05-02-02-01-05.wav,angry
dataset/RAVDESS\Actor_05\03-01-05-02-02-02-05.wav,angry
dataset/RAVDESS\Actor_05\03-01-06-01-01-01-05.wav,fear
dataset/RAVDESS\Actor_05\03-01-06-01-01-02-05.wav,fear
dataset/RAVDESS\Actor_05\03-01-06-01-02-01-05.wav,fear
dataset/RAVDESS\Actor_05\03-01-06-01-02-02-05.wav,fear
dataset/RAVDESS\Actor_05\03-01-06-02-01-01-05.wav,fear
dataset/RAVDESS\Actor_05\03-01-06-02-01-02-05.wav,fear
dataset/RAVDESS\Actor_05\03-01-06-02-02-01-05.wav,fear
dataset/RAVDESS\Actor_05\03-01-06-02-02-02-05.wav,fear
dataset/RAVDESS\Actor_05\03-01-07-01-01-01-05.wav,disgust
dataset/RAVDESS\Actor_05\03-01-07-01-01-02-05.wav,disgust
dataset/RAVDESS\Actor_05\03-01-07-01-02-01-05.wav,disgust
dataset/RAVDESS\Actor_05\03-01-07-01-02-02-05.wav,disgust
dataset/RAVDESS\Actor_05\03-01-07-02-01-01-05.wav,disgust
dataset/RAVDESS\Actor_05\03-01-07-02-01-02-05.wav,disgust
dataset/RAVDESS\Actor_05\03-01-07-02-02-01-05.wav,disgust
dataset/RAVDESS\Actor_05\03-01-07-02-02-02-05.wav,disgust
dataset/RAVDESS\Actor_05\03-01-08-01-01-01-05.wav,surprise
dataset/RAVDESS\Actor_05\03-01-08-01-01-02-05.wav,surprise
dataset/RAVDESS\Actor_05\03-01-08-01-02-01-05.wav,surprise
dataset/RAVDESS\Actor_05\03-01-08-01-02-02-05.wav,surprise
dataset/RAVDESS\Actor_05\03-01-08-02-01-01-05.wav,surprise
dataset/RAVDESS\Actor_05\03-01-08-02-01-02-05.wav,surprise
dataset/RAVDESS\Actor_05\03-01-08-02-02-01-05.wav,surprise
dataset/RAVDESS\Actor_05\03-01-08-02-02-02-05.wav,surprise
dataset/RAVDESS\Actor_06\03-01-01-01-01-01-06.wav,neutral
dataset/RAVDESS\Actor_06\03-01-01-01-01-02-06.wav,neutral
dataset/RAVDESS\Actor_06\03-01-01-01-02-01-06.wav,neutral
dataset/RAVDESS\Actor_06\03-01-01-01-02-02-06.wav,neutral
dataset/RAVDESS\Actor_06\03-01-02-01-01-01-06.wav,calm
dataset/RAVDESS\Actor_06\03-01-02-01-01-02-06.wav,calm
dataset/RAVDESS\Actor_06\03-01-02-01-02-01-06.wav,calm
dataset/RAVDESS\Actor_06\03-01-02-01-02-02-06.wav,calm
dataset/RAVDESS\Actor_06\03-01-02-02-01-01-06.wav,calm
dataset/RAVDESS\Actor_06\03-01-02-02-01-02-06.wav,calm
dataset/RAVDESS\Actor_06\03-01-02-02-02-01-06.wav,calm
dataset/RAVDESS\Actor_06\03-01-02-02-02-02-06.wav,calm
dataset/RAVDESS\Actor_06\03-01-03-01-01-01-06.wav,happy
dataset/RAVDESS\Actor_06\03-01-03-01-01-02-06.wav,happy
dataset/RAVDESS\Actor_06\03-01-03-01-02-01-06.wav,happy
dataset/RAVDESS\Actor_06\03-01-03-01-02-02-06.wav,happy
dataset/RAVDESS\Actor_06\03-01-03-02-01-01-06.wav,happy
dataset/RAVDESS\Actor_06\03-01-03-02-01-02-06.wav,happy
dataset/RAVDESS\Actor_06\03-01-03-02-02-01-06.wav,happy
dataset/RAVDESS\Actor_06\03-01-03-02-02-02-06.wav,happy
dataset/RAVDESS\Actor_06\03-01-04-01-01-01-06.wav,sad
dataset/RAVDESS\Actor_06\03-01-04-01-01-02-06.wav,sad
dataset/RAVDESS\Actor_06\03-01-04-01-02-01-06.wav,sad
dataset/RAVDESS\Actor_06\03-01-04-01-02-02-06.wav,sad
dataset/RAVDESS\Actor_06\03-01-04-02-01-01-06.wav,sad
dataset/RAVDESS\Actor_06\03-01-04-02-01-02-06.wav,sad
dataset/RAVDESS\Actor_06\03-01-04-02-02-01-06.wav,sad
dataset/RAVDESS\Actor_06\03-01-04-02-02-02-06.wav,sad
dataset/RAVDESS\Actor_06\03-01-05-01-01-01-06.wav,angry
dataset/RAVDESS\Actor_06\03-01-05-01-01-02-06.wav,angry
dataset/RAVDESS\Actor_06\03-01-05-01-02-01-06.wav,angry
dataset/RAVDESS\Actor_06\03-01-05-01-02-02-06.wav,angry
dataset/RAVDESS\Actor_06\03-01-05-02-01-01-06.wav,angry
dataset/RAVDESS\Actor_06\03-01-05-02-01-02-06.wav,angry
dataset/RAVDESS\Actor_06\03-01-05-02-02-01-06.wav,angry
dataset/RAVDESS\Actor_06\03-01-05-02-02-02-06.wav,angry
dataset/RAVDESS\Actor_06\03-01-06-01-01-01-06.wav,fear
dataset/RAVDESS\Actor_06\03-01-06-01-01-02-06.wav,fear
dataset/RAVDESS\Actor_06\03-01-06-01-02-01-06.wav,fear
dataset/RAVDESS\Actor_06\03-01-06-01-02-02-06.wav,fear
dataset/RAVDESS\Actor_06\03-01-06-02-01-01-06.wav,fear
dataset/RAVDESS\Actor_06\03-01-06-02-01-02-06.wav,fear
dataset/RAVDESS\Actor_06\03-01-06-02-02-01-06.wav,fear
dataset/RAVDESS\Actor_06\03-01-06-02-02-02-06.wav,fear
dataset/RAVDESS\Actor_06\03-01-07-01-01-01-06.wav,disgust
dataset/RAVDESS\Actor_06\03-01-07-01-01-02-06.wav,disgust
dataset/RAVDESS\Actor_06\03-01-07-01-02-01-06.wav,disgust
dataset/RAVDESS\Actor_06\03-01-07-01-02-02-06.wav,disgust
dataset/RAVDESS\Actor_06\03-01-07-02-01-01-06.wav,disgust
dataset/RAVDESS\Actor_06\03-01-07-02-01-02-06.wav,disgust
dataset/RAVDESS\Actor_06\03-01-07-02-02-01-06.wav,disgust
dataset/RAVDESS\Actor_06\03-01-07-02-02-02-06.wav,disgust
dataset/RAVDESS\Actor_06\03-01-08-01-01-01-06.wav,surprise
dataset/RAVDESS\Actor_06\03-01-08-01-01-02-06.wav,surprise
dataset/RAVDESS\Actor_06\03-01-08-01-02-01-06.wav,surprise
dataset/RAVDESS\Actor_06\03-01-08-01-02-02-06.wav,surprise
dataset/RAVDESS\Actor_06\03-01-08-02-01-01-06.wav,surprise
dataset/RAVDESS\Actor_06\03-01-08-02-01-02-06.wav,surprise
dataset/RAVDESS\Actor_06\03-01-08-02-02-01-06.wav,surprise
dataset/RAVDESS\Actor_06\03-01-08-02-02-02-06.wav,surprise
dataset/RAVDESS\Actor_07\03-01-01-01-01-01-07.wav,neutral
dataset/RAVDESS\Actor_07\03-01-01-01-01-02-07.wav,neutral
dataset/RAVDESS\Actor_07\03-01-01-01-02-01-07.wav,neutral
dataset/RAVDESS\Actor_07\03-01-01-01-02-02-07.wav,neutral
dataset/RAVDESS\Actor_07\03-01-02-01-01-01-07.wav,calm
dataset/RAVDESS\Actor_07\03-01-02-01-01-02-07.wav,calm
dataset/RAVDESS\Actor_07\03-01-02-01-02-01-07.wav,calm
dataset/RAVDESS\Actor_07\03-01-02-01-02-02-07.wav,calm
dataset/RAVDESS\Actor_07\03-01-02-02-01-01-07.wav,calm
dataset/RAVDESS\Actor_07\03-01-02-02-01-02-07.wav,calm
dataset/RAVDESS\Actor_07\03-01-02-02-02-01-07.wav,calm
dataset/RAVDESS\Actor_07\03-01-02-02-02-02-07.wav,calm
dataset/RAVDESS\Actor_07\03-01-03-01-01-01-07.wav,happy
dataset/RAVDESS\Actor_07\03-01-03-01-01-02-07.wav,happy
